MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,fr_aniline,fr_bicyclic,fr_ether,tg
12.20362481,-3.122229308,0.483564815,162.188,2.166666667,3.848424119,5.969305288,0,13.27271374,7.037952459,0,0,0,0,0,13.00725775,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.20362481,0,-1.241851852,-1.501921296,-1.94421001,-3.122229308,0,0,0,1,130
12.52029148,-3.434729308,0.583479781,176.215,2.076923077,3.810377316,5.969305288,0,20.12460586,6.558985243,0,0,0,0,0,12.52829053,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.52029148,0,-1.469544596,-1.667546296,-8.808649573,0,0,0,0,1,118
12.74690712,-3.721187642,0.663199169,190.242,2,3.801217818,5.969305288,0,26.49753076,6.558985243,0,0,0,0,0,12.52829053,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.74690712,0,-1.649178949,-1.795324074,-9.344635679,0,0,0,0,1,108
12.83695814,-3.747229308,0.683394747,190.242,1.928571429,3.918882936,5.969305288,0,33.056516,0,0,0,0,0,0,12.04932331,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.83695814,0,-1.697237339,-1.833171296,-9.376547186,0,0,0,0,1,146
12.91718774,-3.948373449,0.728062209,204.269,1.933333333,3.811137819,5.969305288,0,32.87045566,6.558985243,0,0,0,0,0,12.52829053,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.91718774,0,-1.793761377,-1.89523904,-9.749685402,0,0,0,0,1,66
12.97352277,-4.007645975,0.742918556,204.269,1.866666667,3.911747195,5.969305288,0,26.97649797,6.558985243,0,0,0,0,0,12.52829053,4.736862954,5.893957685,6.875840478,0,26.3,4.794537184,0,0,4.736862954,12.97352277,0,-1.828813303,-5.897516967,-13.80295357,0,0,0,0,1,127
13.04985556,-4.163998449,0.781765912,218.296,1.8125,3.832599396,5.969305288,0,39.24338056,6.558985243,0,0,0,0,0,12.52829053,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,13.04985556,0,-1.912328121,-1.974958428,-10.05976711,0,0,0,0,1,92
13.08746835,-4.234831782,0.792925249,218.296,1.8125,3.920073832,5.969305288,0,33.34942288,6.558985243,0,0,0,0,0,12.52829053,4.736862954,5.893957685,6.875840478,0,26.3,4.794537184,0,0,4.736862954,13.08746835,0,-1.938343805,-6.15289319,-14.26039098,0,0,0,0,1,68
13.15615186,-4.347322518,0.82691054,232.323,1.705882353,3.86041288,5.969305288,0,45.61630546,6.558985243,0,0,0,0,0,12.52829053,4.736862954,0,6.875840478,0,26.3,4.794537184,0,0,4.736862954,13.15615186,0,-2.011176453,-2.039821468,-10.30370316,0,0,0,0,1,45
12.99338341,-2.002992056,0.503827056,224.259,1.411764706,2.829664215,5.969305288,0,13.27271374,0,5.749511833,4.736862954,0,5.749511833,0,5.969305288,0,0,6.875840478,0,26.3,4.794537184,0,0,0,12.99338341,0,-1.2614787,-2.267662037,-2.002992056,0,0,0,0,1,124
