Porosity,Displacement,Force,Time,YM,UTS,Fstrain,StrainRate
60.4928,4.336938344,60.4928,52.03399912,1806,53,43,0.004902833
62.0953,4.546941805,62.0953,54.55300012,1806,53,43,0.004902886
62.2148,4.083040068,62.2148,48.98900149,1806,53,43,0.004902709
62.9408,4.281608423,62.9408,51.3689982,1806,53,43,0.004902944
63.3437,4.222823854,63.3437,50.66300073,1806,53,43,0.004903014
64.7071,5.035917822,64.7071,60.4200007,1806,53,43,0.004902854
67.9298,4.967663611,67.9298,59.60600153,1806,53,43,0.004902451
69.063,5.466586153,69.063,65.59400049,1806,53,43,0.004902337
69.1914,5.860923497,69.1914,70.32299731,1806,53,43,0.004902524
76.7301,5.64395188,76.7301,67.71999994,1806,53,43,0.004902498
77.2082,4.528955034,77.2082,54.34099832,1806,53,43,0.004902544
79.3286,4.725975112,79.3286,56.7040011,1806,53,43,0.004902626
86.8319,3.651656896,86.8319,43.81400171,1806,53,43,0.004902619
87.1329,2.581805909,87.1329,30.97699991,1806,53,43,0.0049027
87.4782,4.055464348,87.4782,48.65799857,1806,53,43,0.004902724
87.4915,3.408717444,87.4915,40.90000024,1806,53,43,0.004902513
88.2352,5.16760185,88.2352,62.00599978,1806,53,43,0.004902374
38.0897,2.189493351,38.0897,26.26400056,1752,45,41,0.004903812
40.5585,2.064360571,40.5585,24.76100085,1752,45,41,0.004904203
41.9181,2.043574664,41.9181,24.50800059,1752,45,41,0.00490494
43.3553,2.2865143,43.3553,27.42599931,1752,45,41,0.004904136
43.8905,2.327431026,43.8905,27.91699908,1752,45,41,0.004904098
45.8069,2.18508587,45.8069,26.20699945,1752,45,41,0.004904585
48.2498,1.794798449,48.2498,21.5280005,1752,45,41,0.004904142
48.3793,1.859538639,48.3793,22.30399957,1752,45,41,0.004904261
51.8322,2.241190093,51.8322,26.8820006,1752,45,41,0.0049042
59.1825,4.841876016,59.1825,58.09799829,1752,45,41,0.004902342
61.8326,2.334935391,61.8326,28.01299975,1752,45,41,0.00490305
63.5461,2.245537878,63.5461,26.9389998,1752,45,41,0.004903317
66.2998,4.318653872,66.2998,51.81899841,1752,45,41,0.004902419
68.4967,3.876430993,68.4967,46.51199976,1752,45,41,0.004902506
69.1571,3.456185559,69.1571,41.46900049,1752,45,41,0.004902579
72.3035,2.456435035,72.3035,29.47299965,1752,45,41,0.004902663
76.3693,4.00114696,76.3693,48.0090014,1752,45,41,0.004902447
76.9088,3.749809448,76.9088,44.99299875,1752,45,41,0.004902474
78.6352,3.306931662,78.6352,39.67700122,1752,45,41,0.004902724
84.3152,2.464713516,84.3152,29.57199922,1752,45,41,0.004902717
89.2529,5.510361619,89.2529,66.11900256,1752,45,41,0.004902356
33.8186,7.877578293,33.8186,94.52500024,1305,37,110,0.004902269
37.5832,14.13170745,37.5832,169.5759951,1305,37,110,0.004902091
38.4624,9.132715909,38.4624,109.5849978,1305,37,110,0.0049023
38.9534,11.34603222,38.9534,136.1489932,1305,37,110,0.004902083
38.9955,14.5162179,38.9955,174.1909935,1305,37,110,0.004902063
41.5676,11.734414,41.5676,140.8060072,1305,37,110,0.004902203
45.5706,8.852432748,45.5706,106.2249977,1305,37,110,0.004902154
45.898,13.25976973,45.898,159.1119944,1305,37,110,0.004902122
47.9743,10.23865965,47.9743,122.8580004,1305,37,110,0.004902197
55.8588,12.7170117,55.8588,152.5999972,1305,37,110,0.004902094
58.9453,11.44537617,58.9453,137.3389956,1305,37,110,0.004902158
59.2493,13.16203371,59.2493,157.9370028,1305,37,110,0.004902191
63.9491,13.93111426,63.9491,167.1689974,1305,37,110,0.004902089
66.3669,16.26551271,66.3669,195.183005,1305,37,110,0.00490204
67.0262,11.55478515,67.0262,138.6500002,1305,37,110,0.004902223
75.6871,14.31973398,75.6871,171.832006,1305,37,110,0.004902098
77.8008,17.04156146,77.8008,204.4949933,1305,37,110,0.004902051
84.5162,15.86938937,84.5162,190.4249941,1305,37,110,0.004902158
86.0922,12.93821287,86.0922,155.2550041,1305,37,110,0.004902073
90.0672,7.94678492,90.0672,95.35700098,1305,37,110,0.004902188
90.9043,12.52142162,90.9043,150.2499993,1305,37,110,0.004902191
36.7771,2.457507082,36.7771,29.47399933,1673,46,51,0.004904636
38.7848,2.302833364,38.7848,27.62500066,1673,46,51,0.004903558
39.8339,2.497768623,39.8339,29.95800081,1673,46,51,0.004904452
42.7415,2.535766883,42.7415,30.40500029,1673,46,51,0.004905863
45.5723,2.600566796,45.5723,31.19299951,1673,46,51,0.00490413
45.6808,2.298664147,45.6808,27.56099921,1673,46,51,0.004906046
50.1299,2.61456299,50.1299,31.36600056,1673,46,51,0.004903329
50.2434,2.492527556,50.2434,29.90100024,1673,46,51,0.00490349
50.8765,2.945411052,50.8765,35.33799997,1673,46,51,0.004902922
53.6032,2.76077947,53.6032,33.12299872,1673,46,51,0.004902901
54.1368,3.014082231,54.1368,36.14499838,1673,46,51,0.004905214
55.3306,2.658815002,55.3306,31.88799989,1673,46,51,0.004904694
58.9075,2.746783171,58.9075,32.94499881,1673,46,51,0.004904401
59.6943,3.048447457,59.6943,36.61000103,1673,46,51,0.004898127
60.038,3.147017013,60.038,37.75599978,1673,46,51,0.004903026
62.8642,4.063207083,62.8642,48.75200143,1673,46,51,0.004902613
64.0037,3.511217735,64.0037,42.13099924,1673,46,51,0.004902381
64.6911,3.697993592,64.6911,44.36900037,1673,46,51,0.004902726
70.244,6.63494727,70.244,79.61499658,1673,46,51,0.00490223
71.777,5.153427258,71.777,61.83700052,1673,46,51,0.004902288
72.5367,4.982791687,72.5367,59.78900073,1673,46,51,0.00490233
49.3379,0.511429721,49.3379,6.119000107,4100,69,5.3,0.004916506
52.8755,0.533764206,52.8755,6.390999943,4100,69,5.3,0.00491283
59.5061,0.651749796,59.5061,7.808000237,4100,69,5.3,0.004910121
64.4733,0.494634152,64.4733,5.923000194,4100,69,5.3,0.004912397
68.3443,0.335434029,68.3443,4.01300016,4100,69,5.3,0.004916873
73.2157,0.512680438,73.2157,6.140000015,4100,69,5.3,0.004911673
77.6195,0.725602454,77.6195,8.695000175,4100,69,5.3,0.004908855
49.1501,0.35234869,49.1501,4.216000229,4100,69,5.3,0.004916127
50.2079,0.384331653,50.2079,4.598000199,4100,69,5.3,0.004916865
55.1828,0.314588527,55.1828,3.760999899,4100,69,5.3,0.004920289
56.3058,0.389691934,56.3058,4.661999851,4100,69,5.3,0.004917
60.2995,0.27051517,60.2995,3.233000021,4100,69,5.3,0.004921948
60.9894,0.427928541,60.9894,5.128000002,4100,69,5.3,0.004908788
64.0555,0.419828566,64.0555,5.015999943,4100,69,5.3,0.004923405
64.6994,0.413515357,64.6994,4.949000031,4100,69,5.3,0.00491502
68.4861,0.34996634,68.4861,4.188999802,4100,69,5.3,0.004914361
68.6663,0.311491484,68.6663,3.723999888,4100,69,5.3,0.004920255
73.1391,0.310359869,73.1391,3.709999949,4100,69,5.3,0.00492088
73.5645,0.301962104,73.5645,3.611999899,4100,69,5.3,0.004917629
78.7233,0.501066485,78.7233,6.001000077,4100,69,5.3,0.004911598
79.2599,0.407678618,79.2599,4.881000116,4100,69,5.3,0.004913152
48.5098,5.731502681,48.5098,68.76399866,1500,33,51,0.004902961
49.1106,6.169318349,49.1106,74.02100299,1500,33,51,0.004902677
49.4066,5.810477433,49.4066,69.71899994,1500,33,51,0.004902434
53.4398,5.190651014,53.4398,62.28100186,1500,33,51,0.004902497
54.3808,6.501238174,54.3808,78.01100031,1500,33,51,0.004902203
54.7607,5.801543951,54.7607,69.61299768,1500,33,51,0.00490235
60.7996,7.853992641,60.7996,94.24500147,1500,33,51,0.004902112
61.502,8.461907772,61.502,101.5380007,1500,33,51,0.004902197
61.8112,7.174190865,61.8112,86.0829989,1500,33,51,0.004902376
63.1674,8.084007897,63.1674,97.00399652,1500,33,51,0.004902168
64.0421,6.831788396,64.0421,81.97800317,1500,33,51,0.004902168
64.1437,6.942388775,64.1437,83.30300067,1500,33,51,0.004902294
