"BalabanJ	PEOE_VSA5	SMR_VSA4	SMR_VSA5	SMR_VSA6	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA3	SlogP_VSA4	SlogP_VSA7	SlogP_VSA8	EState_VSA10	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA8	VSA_EState10	VSA_EState2	VSA_EState4	VSA_EState8	VSA_EState9	NHOHCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticHeterocycles	NumSaturatedHeterocycles	fr_Ar_N	fr_allylic_oxid	fr_aniline	fr_bicyclic	fr_ester	fr_ether	fr_ketone	tg"
"3.730106697	0	0	19.83169898	13.11797049	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	9.845671145	0	0	-1.485840459	-12.26444637	0	1	0	0	0	0	0	0	0	0	0	1	0	46"
"3.748487837	0	0	33.056516	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.59828377	-12.76836022	0	0	0	0	0	0	0	0	0	0	0	1	0	22"
"3.764989735	0	0	39.4294409	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.723147785	-13.27901751	0	0	0	0	0	0	0	0	0	0	0	1	0	10"
"3.76164149	0	0	32.57754879	13.11797049	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	9.845671145	0	0	-1.751614003	-13.40308926	0	1	0	0	0	0	0	0	0	0	0	1	0	20"
"3.939619805	0	0	45.98842615	0	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.790924587	-13.37066089	0	0	0	0	0	0	0	0	0	0	0	1	0	40"
"3.822479093	0	0	52.17529071	6.558985243	0	0	0	0	11.2958482	0	6.875840478	0	0	0	0	0	4.736862954	0	0	-1.913297169	-13.98603629	0	0	0	0	0	0	0	0	0	0	0	1	0	-20"
"3.657025981	0	0	39.4294409	19.67695573	0	0	0	0	16.03271115	0	6.875840478	0	0	0	0	0	9.473725908	0	0	-1.874829546	-22.17911484	0	0	0	0	0	0	0	0	0	0	0	2	0	-38"
"3.867113468	0	0	13.27271374	13.9516538	0	0	0	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.19325877	-1.501044029	-8.791929721	0	0	0	0	0	0	0	0	0	0	0	0	0	125"
"4.094961745	0	0	26.97649797	12.99371937	0	0	0	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.53492544	-1.886325665	-17.51154303	0	0	0	0	0	0	0	0	0	0	0	0	0	102"
"2.928870842	0	0	32.39148844	12.99371937	0	0	0	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.8470442	-1.804838934	-9.753396663	0	0	0	1	0	1	0	0	0	0	0	0	0	114"
"2.906525585	0	0	38.76441335	19.49057905	0	0	0	0	0	0	6.875840478	0	4.794537184	0	0	0	0	0	12.58917191	-2.044857396	-14.80164912	0	0	0	1	0	1	0	0	0	0	0	0	1	38"
"2.870967608	0	0	13.27271374	26.11168985	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.80228655	-1.692395623	-16.39732127	0	0	0	1	0	1	0	0	0	0	0	1	0	127"
"3.675257302	0	0	13.27271374	7.037952459	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	5.563451492	0	0	4.736862954	0	11.88242989	-1.18767243	-1.849012661	-3.09880228	0	0	0	0	0	0	0	0	0	1	1	0	122"
"3.628795716	0	0	20.12460586	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.19909655	-1.380313248	-8.646163261	0	0	0	0	0	0	0	0	0	0	1	1	0	94"
"3.623066763	0	0	26.49753076	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.4257122	-1.533931918	-9.166777645	0	0	0	0	0	0	0	0	0	0	1	1	0	92"
"3.730019413	0	0	33.056516	0	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.51576322	-1.572954066	-9.193625969	0	0	0	0	0	0	0	0	0	0	1	1	0	95"
"3.641301598	0	0	32.87045566	6.558985243	0	0	0	0	4.736862954	0	6.875840478	0	4.794537184	0	0	0	4.736862954	0	12.59599281	-1.658795934	-9.559813996	0	0	0	0	0	0	0	0	0	0	1	1	0	76"
